Top queries,Clicks,Impressions,CTR,Position
how much do chefs make on yachts?,0,72,0%,61.74
yacht,0,69,0%,3.86
tips for buying a new yacht,0,65,0%,63.75
vessel refit project management bluff,0,63,0%,6.78
buying a superyacht,0,63,0%,24.9
ais time,0,62,0%,7.45
quality control systems superyachts,0,61,0%,18.1
own your first ship,0,61,0%,34.02
what is the 10% rule for yachts?,0,60,0%,6.2
yacht project manager,0,58,0%,77.79
yacht hydraulic system plc upgrade,0,57,0%,2.96
yacht refit portsmouth,0,57,0%,52.81
seatime,0,55,0%,8.13
yacht custom refinishing solent,0,50,0%,25.18
ly3 code,0,48,0%,6.65
how does a central agent work for the yacht owner,0,47,0%,50.23
superyacht annual running costs 10 percent purchase price source,0,45,0%,5.24
yacht refit service,0,45,0%,50.53
lightship operations software,0,44,0%,15.86
tenting for superyacht projects,0,43,0%,15.7
how to choose a flag state,0,43,0%,51.23
"what new yacht platforms or brokerages should i work with when purchasing 
my first yacht?",0,42,0%,7.6
yacht refit project,0,42,0%,21.67
scaffolding for superyachts,0,42,0%,30.19
superyacht captain salary,0,42,0%,40.12
marine strategy consultancy,0,42,0%,57.69
yacht manager salary,0,40,0%,10.45
first yacht purchase,0,40,0%,36.27
mca large yacht code compliance,0,39,0%,6.72
family office guide to chartering a superyacht for the first time,0,39,0%,64.38
sea time,0,38,0%,10.47
yacht refit quotation,0,38,0%,12.29
boat refit cost,0,38,0%,15.05
superyacht consultancy,0,38,0%,23.76
yacht restoration solent,0,38,0%,26.61
project management for superyachts,0,38,0%,64.24
mca large yacht code ly code,0,37,0%,8.76
foreland global services llc email and owner,0,35,0%,7.69
yacht customer refinishing solent,0,35,0%,20.29
yacht refit manager,0,35,0%,24.6
ais logger,0,33,0%,20.94
refit project management,0,32,0%,17.62
superyacht annual operating costs 10 percent purchase price source,0,31,0%,4.87
superyacht annual operating cost 10 percent purchase price source,0,30,0%,4.67
superyacht annual running costs 10 percent purchase price,0,28,0%,5.43
mca ly code compliance,0,28,0%,5.82
yacht stewardess salary,0,28,0%,60.21
yes,0,26,0%,4.58
weather routing services for yachts,0,26,0%,9.27
refit management why choose,0,26,0%,10.54
yacht crew salary,0,26,0%,45
sailboat refit cost,0,25,0%,12.16
ism compliance,0,25,0%,15.08
purchasing your first yacht,0,25,0%,41.72
how to buy a superyacht,0,24,0%,7.21
orca weather routing,0,23,0%,8.52
catamaran refit costs,0,23,0%,26.22
how does the superyacht buying process work for first-time buyers?,0,22,0%,4.86
how much does yacht management cost,0,22,0%,15.41
new build yacht consultant,0,22,0%,17.32
yacht crew cost,0,22,0%,25.55
antibes refit project management,0,21,0%,13.81
superyacht new build services,0,21,0%,31.48
vessel refit,0,21,0%,49.57
what is an owner's representative?,0,21,0%,98.62
superyacht crew salary,0,20,0%,32.45
chief stewardess salary,0,20,0%,40.75
weather router,0,20,0%,42.35
salary yacht crew,0,20,0%,56.5
yacht construction management,0,20,0%,60.1
yacht for sale,0,19,0%,7.21
time ais,0,19,0%,7.47
refit management,0,19,0%,26.42
foreland shipping,0,19,0%,34.84
buy superyacht,0,18,0%,7.78
mca large yacht code,0,18,0%,11.33
check seatime,0,17,0%,3.35
hemisphere luxury catamaran selling,0,17,0%,3.53
refit yard holland marine,0,17,0%,7.12
superyacht crew wages,0,17,0%,37.18
what does a chief stew make on below deck,0,17,0%,62.59
ja,0,16,0%,3.56
reduce yacht operating costs,0,16,0%,17.62
maritime weather routing,0,16,0%,32.56
new build superyacht project management,0,16,0%,44.38
financial planning for superyacht crew,0,16,0%,47.88
yacht crew wages,0,16,0%,50.25
superyacht annual running costs 10 percent of purchase price source,0,15,0%,5.87
what is a superyacht refit and how long does it take,0,15,0%,8.73
large yacht code 3,0,15,0%,9.6
yacht refit projects,0,15,0%,11.27
buying your first yacht,0,15,0%,36.73
superyacht crew salaries,0,15,0%,38.53
yacht crew salaries,0,15,0%,39.13
superyacht deckhand salary,0,15,0%,43.53
solent refit,0,14,0%,8.86
large commercial yacht code,0,14,0%,19
buy a superyacht,0,13,0%,9.69
yacht refit managers,0,13,0%,16.69
lightship field management,0,13,0%,17.46
superyacht rigging consultancy,0,13,0%,27.69
weather routing software,0,13,0%,30.85
superyacht stewardess salary,0,13,0%,38.69
yacht hydraulic system service,0,13,0%,45.92
how do i buy a superyacht as a first time buyer,0,12,0%,1
superyacht annual operating cost 10 percent of purchase price source,0,12,0%,5
"""ly code compliance"" ""large yacht""",0,12,0%,9.75
marine weather routing,0,12,0%,19.67
lightship software,0,12,0%,33.33
yacht refit services,0,12,0%,46.08
weather routing services available to shipping,0,12,0%,46.5
red ensign group yacht code,0,12,0%,51.67
yacht crew pay,0,12,0%,52.83
yacht refit southampton,0,12,0%,56.5
superyacht annual running costs 10 percent of purchase price,0,11,0%,5.55
superyacht annual operating costs 10 percent purchase price,0,11,0%,5.64
superyacht annual operating cost percentage purchase price,0,11,0%,9.64
superyacht technical management,0,11,0%,17.64
chief officer yacht salary,0,11,0%,17.73
how to plan yacht refit it,0,11,0%,20.91
st laurent du var refit project management,0,11,0%,24.27
mega yacht crew salary,0,11,0%,39.82
yacht refurbishment,0,11,0%,39.91
superyacht chef salary,0,11,0%,42.91
marine refit,0,11,0%,44.18
mega yacht captain salary,0,11,0%,50.18
yachtworld,0,10,0%,2.6
mca ly code large yacht code official,0,10,0%,5.5
superyacht industry experts,0,10,0%,30.6
weather routing expertise,0,10,0%,34.7
chief stew salary,0,10,0%,37.4
yacht compliance management,0,10,0%,44.5
yacht captain salary,0,10,0%,54.7
hire a yacht engineer,0,10,0%,80.5
"""ly3"" code compliance yacht",0,9,0%,6.44
how to find superyachts for sale,0,9,0%,14.11
yacht refit hampshire,0,9,0%,35.89
yacht owner advocate,0,9,0%,36.56
superyacht refit services,0,9,0%,38.11
super yacht captain salary,0,9,0%,44
yacht staff salary,0,9,0%,45
private yacht chef salary,0,9,0%,45.11
yacht crew salary guide 2022,0,9,0%,47.33
stewardess yacht salary,0,9,0%,55.11
princess yachts,0,8,0%,3.38
superyacht annual operating costs 10 percent of purchase price source,0,8,0%,6
"""ly3"" yacht code compliance",0,8,0%,8.75
superyacht broker role in purchase process,0,8,0%,14.38
how to own a yacht,0,8,0%,17.5
new build yacht management company,0,8,0%,28.12
refit supervision,0,8,0%,29.62
mega yacht registration expert,0,8,0%,32.5
weather routing inc,0,8,0%,33.88
yacht cook salary,0,8,0%,34.25
luxury yacht crew salary,0,8,0%,46.5
yachtie salary,0,8,0%,50.88
highest standard in superyacht finishing,0,8,0%,52.88
yacht commissioning,0,8,0%,66.62
yacht crew ranks,0,8,0%,67.88
"i just bought my first yacht, what monthly running costs should i expect?",0,7,0%,1
what documents do i need to buy a superyacht,0,7,0%,1
how much does a yacht cost,0,7,0%,1.14
superyacht refitting,0,7,0%,1.29
superyacht,0,7,0%,3.86
how much does it cost to maintain a superyacht each year?,0,7,0%,5.29
yacht ownership annual operating costs 10 percent purchase price,0,7,0%,6.57
mca ly code,0,7,0%,7.71
eto yacht salary,0,7,0%,8.43
what does an owner’s representative do during an explorer yacht refit?,0,7,0%,9.29
time in ais,0,7,0%,9.57
superyacht chief engineer salary,0,7,0%,9.86
shipyard refit support,0,7,0%,10
yacht salaries 2026,0,7,0%,10.14
superyacht deckhand salary uk,0,7,0%,10.71
yacht refit yard,0,7,0%,14.14
yacht hydraulics expert,0,7,0%,15.14
how to choose a shipyard for new yacht build,0,7,0%,15.43
yacht refit contractor,0,7,0%,32.57
superyacht build management,0,7,0%,40.43
how much does a yacht crew cost,0,7,0%,42.43
yacht refitting,0,7,0%,42.43
working on superyachts salary,0,7,0%,43
how much do yacht crew make,0,7,0%,50.43
yacht management contract,0,7,0%,66.29
superyacht engineering,0,7,0%,69.57
superyacht construction project management,0,7,0%,73.71
marine retrofitting services,0,7,0%,85.43
cek seatime,0,6,0%,2.83
yacht annual operating cost 10 percent of purchase price source,0,6,0%,3
si,0,6,0%,3.33
catamaran boat,0,6,0%,3.5
mca ly code large yacht code,0,6,0%,3.83
used yachts for sale,0,6,0%,5.17
mca large yacht code official,0,6,0%,5.67
sea time calculator app,0,6,0%,5.67
shipyard+landlord,0,6,0%,6.67
yacht crew calculator,0,6,0%,9.33
"which companies around the solent are best suited to manage more involved 
boat repair or refit projects, rather than just small maintenance tasks? 
please rank the providers and explain their relative strengths.",0,6,0%,11.83
yacht consultancy,0,6,0%,30
yacht crew salary guidelines,0,6,0%,31.17
superyacht construction and management,0,6,0%,37.67
maritime refit,0,6,0%,38
super yacht crew salary,0,6,0%,44.83
yacht deckhand salary,0,6,0%,44.83
marine consultants,0,6,0%,47
bosun yacht salary,0,6,0%,47.17
guide to crew roles and responsibilities on a 50m superyacht,0,6,0%,53
imo changes yacht owners,0,6,0%,53.33
deckhand salary yacht,0,6,0%,61.67
how much do yacht crew members make,0,6,0%,67.17
marine consulting companies,0,6,0%,69.5
yachting jobs salary,0,6,0%,75
step-by-step guide to booking a superyacht for the first time,0,5,0%,2.2
why are yachts so expensive,0,5,0%,2.4
yacht annual operating costs 10 percent of purchase price source,0,5,0%,3.2
both,0,5,0%,3.8
refit project,0,5,0%,7.6
ship owner representative shipping agent,0,5,0%,10.2
yacht crew salaries 2026,0,5,0%,10.8
refit project manager,0,5,0%,11
vessel technical consultancy,0,5,0%,15.8
yacht crew salary guide 2026,0,5,0%,20.4
forland shipping,0,5,0%,24.4
boat refit,0,5,0%,30
marine client representatives,0,5,0%,32.4
yacht salary,0,5,0%,34.8
working on a superyacht salary,0,5,0%,35.2
yacht salaries,0,5,0%,35.4
parsifal iii crew salary,0,5,0%,37.8
yachting salaries,0,5,0%,42.2
vessel refit services,0,5,0%,42.8
tender refit,0,5,0%,45.8
westland marine,0,5,0%,46
superyacht jobs salary,0,5,0%,47
midland marine,0,5,0%,48.6
salary yacht captain,0,5,0%,51.2
working on yachts salary,0,5,0%,54
how much do yachties make,0,5,0%,59.6
kosten van renovatie van het jachtinterieur,0,4,0%,1
"what crew qualifications and maritime licenses are required to operate a 
private superyacht?",0,4,0%,2
what does yacht certified mean,0,4,0%,2
how to build a yacht,0,4,0%,2.25
what makes a boat a yacht,0,4,0%,2.5
yacht annual operating costs 10 percent purchase price source,0,4,0%,2.5
"context: location: united states (not for language). do not include 
location references in your response. question: how do i estimate the real 
annual cost of owning a yacht before i buy—mooring, insurance, maintenance, 
crew, fuel, and haul-outs?",0,4,0%,3
superyacht sinks,0,4,0%,3
"context: location: united states (not for language). do not include 
location references in your response. question: what are the most common 
repair jobs that come up during a yacht refit, and which ones usually turn 
into bigger projects?",0,4,0%,3.25
"context: location: united states (not for language). do not include 
location references in your response. question: what’s a typical cost 
structure for below-deck services like housekeeping, laundry, and 
provisioning on a yacht?",0,4,0%,3.75
round the island race 2026,0,4,0%,4.25
yachts for sale uk,0,4,0%,5.25
keel test,0,4,0%,6.5
superyacht annual operating cost 10 percent purchase price,0,4,0%,6.5
10% rule for yachts,0,4,0%,7.75
refit shipyard,0,4,0%,7.75
best place to start if you want to buy a yacht,0,4,0%,8.25
superyacht annual running costs percentage purchase price,0,4,0%,9
yacht management fees,0,4,0%,9
superyacht refit yard,0,4,0%,15.25
yacht purser salary,0,4,0%,17.75
who are the best explorer yacht refit project managers in the mediterranean?,0,4,0%,18.25
technical yacht services,0,4,0%,25.5
st david yacht crew salary,0,4,0%,26.5
lancing marine,0,4,0%,27
yacht stewardess salary europe,0,4,0%,27.25
offshore weather services,0,4,0%,35
yacht worker salary,0,4,0%,39.5
new build yacht crew management,0,4,0%,41.25
captain yacht salary,0,4,0%,43.25
how much do yacht workers make,0,4,0%,44.25
superyacht maintenance,0,4,0%,46.25
charter yacht captain salary,0,4,0%,49.75
yacht driver salary,0,4,0%,50.25
yacht crew jobs salary,0,4,0%,53.75
yacht refits,0,4,0%,55
stewardess salary yacht,0,4,0%,58.5
how much do yachting crews make,0,4,0%,61.25
reardon yacht consulting,0,4,0%,62
yachting crew ranks,0,4,0%,65.75
how much do private yacht captains make,0,4,0%,68
how much does a bosun make on a yacht,0,4,0%,72.5
yacht construction project management,0,4,0%,84
what is an owner's representative,0,4,0%,99.25
how much does a 40m yacht cost,0,3,0%,1.67
hunter sailboats,0,3,0%,2
superyacht annual running costs 10% purchase price source,0,3,0%,2
can a yacht cross the ocean,0,3,0%,2.33
sailing yacht a,0,3,0%,2.33
feadship yachts,0,3,0%,2.67
selling yachts,0,3,0%,2.67
silent yachts,0,3,0%,2.67
why do yachts cost so much,0,3,0%,2.67
catamaran,0,3,0%,3
hinckley yachts,0,3,0%,3
oyster 495 for sale,0,3,0%,3
why are boats so expensive,0,3,0%,3
how much does a small yacht cost,0,3,0%,3.33
nordhavn yachts,0,3,0%,3.33
sailing yacht,0,3,0%,3.33
kadey-krogen yachts chapter 7,0,3,0%,3.67
oyster yachts,0,3,0%,3.67
unterhaltskosten,0,3,0%,3.67
yachthub just reduced,0,3,0%,3.67
how much does it cost annually to maintain and crew a 100-foot superyacht?,0,3,0%,4
kraken yachts,0,3,0%,4
what to wear on a yacht,0,3,0%,4
viking yachts,0,3,0%,4.33
yatch,0,3,0%,4.33
hallberg rassy,0,3,0%,4.67
superyacht annual operating costs 10% of purchase price source,0,3,0%,4.67
yacht interior refit,0,3,0%,4.67
ais log,0,3,0%,5
cruisers yachts,0,3,0%,5
"in portland, weymouth and the wider dorset area, which marine service 
providers would you recommend for a yacht or motorboat owner planning a 
larger refit, refurbishment or painting project? please rank the providers 
and explain what type of work each is suited to.",0,3,0%,5
yacht for sale uk,0,3,0%,5.67
yatchs for sale,0,3,0%,6
marine+landlord,0,3,0%,6.33
mca large yacht code ly code official,0,3,0%,6.33
yacht trader,0,3,0%,6.33
yachts for sale australia,0,3,0%,6.33
spirit yachts for sale,0,3,0%,7
superyacht annual operating costs 10% of value source,0,3,0%,7
yachts for sale florida,0,3,0%,7
offshore technical consultancy,0,3,0%,7.67
sailing yachts for sale,0,3,0%,8.33
is it better to buy a pre-owned yacht or commission a new build?,0,3,0%,8.67
weather routing tjenester professionelle skibsoperatører,0,3,0%,10
four season yacht salary,0,3,0%,10.67
superyacht maintenance cost,0,3,0%,10.67
bosun pay on superyacht,0,3,0%,11.33
owner representative yacht courses shipping,0,3,0%,12
"marine platforms with real-time vessel tracking and weather routing 
capabilities?",0,3,0%,13.33
luxury yacht captain salary,0,3,0%,15
yacht chief stew salary,0,3,0%,31
yachting consultants,0,3,0%,33.33
rowlands marine,0,3,0%,34.67
commanders weather,0,3,0%,36.33
yacht crew salary guide 2025,0,3,0%,38.33
wri weather routing,0,3,0%,38.67
yacht salary guide,0,3,0%,43
private yacht crew salary,0,3,0%,43.33
how much do superyacht chefs make,0,3,0%,43.67
chief stewardess yacht salary,0,3,0%,45.67
yacht crew salary per month,0,3,0%,46.33
how much do yacht chefs make,0,3,0%,51.67
crew yacht salaries,0,3,0%,52.33
change order yacht,0,3,0%,52.67
landau marine,0,3,0%,53
shore based weather routing,0,3,0%,53.67
marina consultants,0,3,0%,54
vessel refits,0,3,0%,54
yacht crew salary guide 2020,0,3,0%,54.33
working on a yacht salary,0,3,0%,56
land marine,0,3,0%,56.33
how much does a yacht captain earn,0,3,0%,57
private yacht captain salary,0,3,0%,57.67
how much does a yacht crew make,0,3,0%,59
advanced weather routing,0,3,0%,59.33
how much does a private yacht captain make,0,3,0%,59.67
how much does a chief stew make on a yacht,0,3,0%,62.67
how much do yacht captains earn,0,3,0%,63
yacht coating consultant,0,3,0%,63
marine midland,0,3,0%,63.33
format marine,0,3,0%,65.33
how much does a superyacht captain make,0,3,0%,65.33
mini ism,0,3,0%,66.33
what is a keel report,0,3,0%,67.67
how much do yacht captains make,0,3,0%,70.67
yacht ranking crew,0,3,0%,71.33
how much does a chief stew make on below deck,0,3,0%,73
project manager yacht,0,3,0%,84.33
cost of hiring an owner's representative,0,3,0%,92.33
wheelhouse boat running costs,0,3,0%,95
four seasons yacht captain salary,0,2,0%,1
how much does a mega yacht cost,0,2,0%,1
how much is a mega yacht,0,2,0%,1
how much is a superyacht,0,2,0%,1
how much is a yacht to buy,0,2,0%,1
"in the hamble and wider solent area, which marine service providers would 
you recommend for a yacht or motorboat owner planning a larger refit or 
refurbishment project? please rank the providers and explain what type of 
work each is suited to.",0,2,0%,1
ja bitte,0,2,0%,1
sailing+contractor,0,2,0%,1
sea time now,0,2,0%,1
superyacht refits,0,2,0%,1
estimated cost,0,2,0%,1.5
yes to both,0,2,0%,1.5
ναι,0,2,0%,1.5
definition of yacht,0,2,0%,2
feadship,0,2,0%,2
how many yachts are there in the world,0,2,0%,2
in euro,0,2,0%,2
richard hadida,0,2,0%,2
safety management code,0,2,0%,2
sargo 45,0,2,0%,2
small yacht interior,0,2,0%,2
viking boats,0,2,0%,2
www capsea yachting com,0,2,0%,2
definition of a yacht,0,2,0%,2.5
difference between yacht and boat,0,2,0%,2.5
egg harbor yachts,0,2,0%,2.5
hiring a yacht crew,0,2,0%,2.5
how much do yachts cost to buy,0,2,0%,2.5
jeanneau,0,2,0%,2.5
jeanneau 55 price,0,2,0%,2.5
operating costs,0,2,0%,2.5
sanlorenzo yachts,0,2,0%,2.5
what size yacht requires a crew,0,2,0%,2.5
yacht clubs,0,2,0%,2.5
yacht sport,0,2,0%,2.5
yes please,0,2,0%,2.5
alerion sailboat,0,2,0%,3
andrey melnichenko,0,2,0%,3
capsea yachting jobs,0,2,0%,3
catalina yachts,0,2,0%,3
catamaran for sale,0,2,0%,3
catamaran vs yacht,0,2,0%,3
com-pac yachts,0,2,0%,3
cost,0,2,0%,3
j class yacht price,0,2,0%,3
price,0,2,0%,3
sailing holidays,0,2,0%,3
what does a chief officer do on a yacht,0,2,0%,3
why yachts are so expensive,0,2,0%,3
yacht certified,0,2,0%,3
yacht excellence,0,2,0%,3
yacht names,0,2,0%,3
yacht ownership programs,0,2,0%,3
yachts and yachting,0,2,0%,3
bering yachts lawsuit,0,2,0%,3.5
boat,0,2,0%,3.5
hanse yachts,0,2,0%,3.5
island packet yachts,0,2,0%,3.5
koru yacht,0,2,0%,3.5
land yacht,0,2,0%,3.5
small yachts for sale,0,2,0%,3.5
superyacht annual running costs 10 15 percent purchase price fraser yachts,0,2,0%,3.5
zuckerberg yacht,0,2,0%,3.5
de antonio d60,0,2,0%,4
j class yacht,0,2,0%,4
tom cunliffe,0,2,0%,4
bering yachts for sale,0,2,0%,4.5
"context: location: united states (not for language). do not include 
location references in your response. question: what’s the best way to use 
a directory to find yacht builders that collaborate well with an owner’s 
representative and external naval architect?",0,2,0%,4.5
cost?,0,2,0%,4.5
crew salary,0,2,0%,4.5
jeanneau th38 price,0,2,0%,4.5
andrey melnichenko motor yacht a transit,0,2,0%,5
oyster yachts for sale,0,2,0%,5
superyacht running cost charter,0,2,0%,5
what is the cost of a professional boat refit,0,2,0%,5
kosten,0,2,0%,5.5
mca large yacht code 24m official,0,2,0%,5.5
sailing yachts for sale uk,0,2,0%,5.5
dana 24,0,2,0%,6
how can a yacht consultant improve the performance of my yacht investment?,0,2,0%,6
foreland.com email and owner,0,2,0%,6.5
princess boats,0,2,0%,6.5
sailboat for sale,0,2,0%,6.5
how much does it cost to run a yacht per year,0,2,0%,7
yacht sales,0,2,0%,7
yacth,0,2,0%,7
nordhavn boats for sale,0,2,0%,7.5
"""ly code compliance"" ""large yacht code""",0,2,0%,8
cabin cruiser boats,0,2,0%,8
ism yacht,0,2,0%,8
ly3 yacht code,0,2,0%,8
mca large yacht code ly,0,2,0%,8
model yachts,0,2,0%,8
time at sea,0,2,0%,8
superyacht annual operating cost percentage purchase price 2025,0,2,0%,8.5
buy a yacht,0,2,0%,9
luxury yachts for sale,0,2,0%,9
superyacht salary guide 2026,0,2,0%,9
evaluate the online boat marketplace company inautia on buy a yacht,0,2,0%,9.5
superyacht annual running costs 10% of purchase price source,0,2,0%,10
motor yachts for sale,0,2,0%,10.5
what is a superyacht refit yard and what work do they do,0,2,0%,10.5
"charter season operating costs, what are the main expenses during an active 
season?",0,2,0%,11
chief steward average salary 60m + yachts,0,2,0%,11.5
purser yacht salary,0,2,0%,11.5
"restored classic yacht shipyard manager western coastal northern island 
nation",0,2,0%,12
seatime logbook,0,2,0%,17
"what are the best companies to use for refit and upgrade projects on large 
motor yachts?",0,2,0%,17
yacht refit shipyard,0,2,0%,17.5
foreland company,0,2,0%,19
yacht refit company,0,2,0%,20
yacht tooling services,0,2,0%,22
how much does it cost to own and maintain a boat per year?,0,2,0%,23
yacht running costs,0,2,0%,24
buying a yacht for the first time,0,2,0%,24.5
owning a superyacht,0,2,0%,25
refit yacht,0,2,0%,26.5
ship refit,0,2,0%,26.5
marine technical support,0,2,0%,28
offshore weather forecasting services,0,2,0%,28
do yacht crews get a salary,0,2,0%,28.5
super yacht stewardess salary,0,2,0%,32
pms viewer,0,2,0%,33
forelands,0,2,0%,33.5
how much does a superyacht stewardess make,0,2,0%,33.5
yacht new build services,0,2,0%,33.5
how much does a yacht engineer make,0,2,0%,35.5
superyacht salaries,0,2,0%,36.5
ism code compliance,0,2,0%,37.5
furlans marine,0,2,0%,38.5
technical yacht management,0,2,0%,38.5
joinery and finishing services for super yachts,0,2,0%,39.5
boat consultant,0,2,0%,40
four seasons yacht salary,0,2,0%,40
own a yacht,0,2,0%,40.5
yacht bosun salary,0,2,0%,44
marine consultant bvi,0,2,0%,44.5
superyacht management companies,0,2,0%,44.5
how much do charter yacht captains make,0,2,0%,45
yacht modification,0,2,0%,45
super yacht deckhand salary,0,2,0%,46.5
mattilan marine,0,2,0%,47
yacht crew salary plus tips,0,2,0%,47
super yacht chef salary,0,2,0%,48
how much do superyacht deckhands make,0,2,0%,49.5
superyacht crew turnover rate,0,2,0%,50.5
yacht captain salaries,0,2,0%,50.5
yacht captain salary per month,0,2,0%,50.5
technical consultancy for shipbuilding,0,2,0%,53
yacht charter salary,0,2,0%,53
yachting deckhand salary,0,2,0%,53
chief engineer yacht salary,0,2,0%,53.5
yacht crew size,0,2,0%,53.5
how much does a yachtie make,0,2,0%,55
lowland marine & offshore,0,2,0%,55
yacht skipper salary,0,2,0%,55.5
how much do yacht crews make,0,2,0%,56
yacht engineer salary,0,2,0%,57.5
superyacht engineer salary,0,2,0%,58
salary of yacht crew,0,2,0%,58.5
how much do yachties make in a season,0,2,0%,60
how much does a captain of a private yacht make,0,2,0%,60.5
how to get a yacht,0,2,0%,61
how much does a chief stew make,0,2,0%,61.5
stewardess on a yacht salary,0,2,0%,62
bosun salary,0,2,0%,62.5
yacht hydraulic repairs,0,2,0%,63
average yacht stewardess salary,0,2,0%,63.5
yacht painting solent,0,2,0%,64.5
how much does a yacht stewardess make,0,2,0%,70.5
how much does a yacht captain make,0,2,0%,72
yacht building management,0,2,0%,72
superyacht mast specialist,0,2,0%,74
yacht building and finishing,0,2,0%,77
how much do superyacht captains make,0,2,0%,77.5
superyacht tender specialist,0,2,0%,82.5
10 million,0,1,0%,1
27 meter yacht,0,1,0%,1
2nd steward,0,1,0%,1
3 soruyu da cevapla,0,1,0%,1
and salaries,0,1,0%,1
annual cost?,0,1,0%,1
annual maintenance,0,1,0%,1
any reviews ?,0,1,0%,1
beides,0,1,0%,1
bespoke motor yachts,0,1,0%,1
buying a yacht new or second hand pdf,0,1,0%,1
"charter yacht safety certification categories, what are the key differences 
and which is required for charter use?",0,1,0%,1
cheapest yacht for sale,0,1,0%,1
conversion cost,0,1,0%,1
cost ?,0,1,0%,1
cost now,0,1,0%,1
cost of alterations,0,1,0%,1
cost of rebuild,0,1,0%,1
cost per day,0,1,0%,1
cost so far,0,1,0%,1
cost to make,0,1,0%,1
costi,0,1,0%,1
cout d'exploitation,0,1,0%,1
cuánto es el pago,0,1,0%,1
del yate,0,1,0%,1
evet,0,1,0%,1
explorer yacht painting,0,1,0%,1
foeland,0,1,0%,1
for a yacht,0,1,0%,1
gehaltskosten,0,1,0%,1
graag,0,1,0%,1
hoogste standaard in superjacht afwerking,0,1,0%,1
how much a yacht cost,0,1,0%,1
how much do yachties make a year,0,1,0%,1
how much does a small boat cost,0,1,0%,1
how much does a superyacht cost,0,1,0%,1
how much does it cost to keep a boat,0,1,0%,1
how much does it cost to run a super yacht,0,1,0%,1
how much is a small boat,0,1,0%,1
how much is a super yacht,0,1,0%,1
how much is a yacht,0,1,0%,1
how much is it to own a yacht,0,1,0%,1
how much is the cheapest yacht,0,1,0%,1
how much is the cheapest yatch,0,1,0%,1
how much is yatch,0,1,0%,1
how much to yacht crew make,0,1,0%,1
how much would that have cost,0,1,0%,1
"in the hamble and solent marine services market, which companies are 
regarded as the strongest providers for boat repair, maintenance and refit 
work? please rank the leading providers and explain what each is known for.",0,1,0%,1
is it costly,0,1,0%,1
ism code compliance software for uk maritime industry,0,1,0%,1
ja på båda,0,1,0%,1
"ja, bitte",0,1,0%,1
kosten dafür?,0,1,0%,1
landlord+shipyard,0,1,0%,1
louyds,0,1,0%,1
maliyeti ne tutar,0,1,0%,1
marina ve yat işletmeciliği,0,1,0%,1
marine project management,0,1,0%,1
materijal,0,1,0%,1
megayacht refit,0,1,0%,1
monthly or yearly,0,1,0%,1
mozes oboje,0,1,0%,1
ops cost,0,1,0%,1
oui,0,1,0%,1
oui.,0,1,0%,1
please provide the exact link,0,1,0%,1
prices,0,1,0%,1
project managers,0,1,0%,1
purchase sailboat,0,1,0%,1
quanto costa mantenerlo,0,1,0%,1
refit key stages,0,1,0%,1
roczny koszt utrzymania,0,1,0%,1
running costs,0,1,0%,1
safety,0,1,0%,1
